Unnamed: 0,question,answer,questions_german,answers_german
2067,look! he just got out of the car and started running.,i hope the police catch him.,"ich hoffe, er hat es geschafft, es","Ich hoffe, die Polizei fängt ihn."
2068,tv news is so stupid.,they shouldn't even call it news.,tv news ist so dumm.,sie sollten es nicht einmal News nennen.
2069,they shouldn't even call it news.,last night they told us about a cat in a sofa.,sie sollten es nicht einmal News nennen.,Heute Abend erzählten sie uns von einer Katze in einem Sofa.
2070,last night they told us about a cat in a sofa.,yesterday they told us about a dog in a pipe.,Heute Abend erzählten sie uns von einer Katze in einem Sofa.,gestern erzählten sie uns von einem Hund in einer Pfeife.
2071,yesterday they told us about a dog in a pipe.,last week they told us about a bear in a back yard.,gestern erzählten sie uns von einem Hund in einer Pfeife.,Letzte Woche erzählten sie uns von einem Bären in einem Hinterhof.
2072,last week they told us about a bear in a back yard.,last month they told us about a mouse in a restaurant.,Letzte Woche erzählten sie uns von einem Bären in einem Hinterhof.,letzten Monat erzählten sie uns von einer Maus in einem Restaurant.
2073,last month they told us about a mouse in a restaurant.,the weatherman tells us the temperature in every town.,letzten Monat erzählten sie uns von einer Maus in einem Restaurant.,der Wettermann sagt uns die Temperatur in jeder Stadt.
2074,the weatherman tells us the temperature in every town.,the sports guy shows us players fighting.,der Wettermann sagt uns die Temperatur in jeder Stadt.,Der Sportmann zeigt uns Spieler kämpfen.
2075,the sports guy shows us players fighting.,"they always tell us ""what's next.""",Der Sportmann zeigt uns Spieler kämpfen.,"sie sagen uns immer ""Was kommt""."
2076,"they always tell us ""what's next.""","they always make ""what's next"" sound exciting, but it never is.","sie sagen uns immer ""Was kommt"".","Sie machen immer ""was ist nächstes"" aufregend, aber es ist"
2077,"they always make ""what's next"" sound exciting, but it never is.",it's more like news for kids.,"Sie machen immer ""was ist nächstes"" aufregend, aber es ist",es ist eher wie Nachrichten für Kinder.
2078,it's more like news for kids.,they should have kid reporters.,es ist eher wie Nachrichten für Kinder.,sie sollten Kinderberichterstatter haben.
2079,i love my computer.,computers are so cool.,ich liebe meinen Computer.,Computer sind so cool.
2080,computers are so cool.,i love to go online.,Computer sind so cool.,i love to go online.
2081,i love to go online.,the internet is amazing.,i love to go online.,Das Hotel ist sehr zentral gelegen und hat eine sehr gute Lage.
2082,the internet is amazing.,you can travel all over the world.,Das Hotel ist sehr zentral gelegen und hat eine sehr gute Lage.,Sie können auf der ganzen Welt reisen.
2083,you can travel all over the world.,i know. i went to china yesterday.,Sie können auf der ganzen Welt reisen.,"Ich kenne es, ich bin gestern nach China gereist."
2084,i know. i went to china yesterday.,what did you do?,"Ich kenne es, ich bin gestern nach China gereist.",Was haben Sie getan?
2085,what did you do?,i stood on the great wall and looked all around.,Was haben Sie getan?,ich sah an der großen Wand und schaute um.
2086,i stood on the great wall and looked all around.,what was it like?,ich sah an der großen Wand und schaute um.,Wie war es?
2087,what was it like?,it was like the real thing.,Wie war es?,es war wie das wahre.
2088,it was like the real thing.,it was like being there?,es war wie das wahre.,es war wie es war dort zu sein?
2089,it was like being there?,"yes, i felt like i was actually there.",es war wie es war dort zu sein?,"ja, ich fühlte mich wie ich tatsächlich da war."
2090,the beatles are the best.,they are the best musical group ever.,Die Beatles sind die besten.,sie sind die beste Musikgruppe je.
2091,they are the best musical group ever.,i love all their songs.,sie sind die beste Musikgruppe je.,ich liebe alle ihre Songs.
2092,i love all their songs.,i don't know which one i like the best.,ich liebe alle ihre Songs.,"ich weiß nicht, welches ich am besten mag."
2093,i don't know which one i like the best.,i like the ones i can sing along with.,"ich weiß nicht, welches ich am besten mag.","Ich mag diejenigen, mit denen ich zusammen singen kann."
2094,i like the ones i can sing along with.,"so do i, like ""she loves you.""","Ich mag diejenigen, mit denen ich zusammen singen kann.","ich, wie ""sie liebt dich""."
2095,"so do i, like ""she loves you.""","""she loves you, yeah, yeah, yeah!...""","ich, wie ""sie liebt dich"".","""Sie liebt dich, yeah, yeah, yeah!..."""
2096,"""she loves you, yeah, yeah, yeah!...""","""Â…and you know you should be glad!""","""Sie liebt dich, yeah, yeah, yeah!...""","""...und Sie wissen, dass Sie froh sein sollten!"""
2097,"""Â…and you know you should be glad!""",what a great song.,"""...und Sie wissen, dass Sie froh sein sollten!""",Was für ein tolles Lied.
2098,what a great song.,"how about ""let it be?""",Was für ein tolles Lied.,"Wie wäre es mit ""Lassen Sie es sein?"""
2099,"how about ""let it be?""","oh, yes! ""let it be, let it beÂ…""","Wie wäre es mit ""Lassen Sie es sein?""","oh, ja! ""Lasst es sein, lassen Sie"
2100,"oh, yes! ""let it be, let it beÂ…""","""Â…there will be an answer, let it be!""","oh, ja! ""Lasst es sein, lassen Sie","""...es wird eine Antwort geben, lassen Sie es sein!"""
2101,let's go to a movie.,i'd rather not.,", ich sage es, ich sage es",Leider hat man es nicht geschafft.
2102,i'd rather not.,why not?,Leider hat man es nicht geschafft.,Warum nicht?
2103,why not?,you know i don't like crowds.,Warum nicht?,ich muß es nicht hören.
2104,you know i don't like crowds.,let's go to an early movie.,ich muß es nicht hören.,''''''''''''''''''
2105,let's go to an early movie.,"okay, that won't be very crowded.",'''''''''''''''''',The hotel is very clean and the staff are very helpful.
2106,"okay, that won't be very crowded.",what would you like to see?,The hotel is very clean and the staff are very helpful.,Was möchten Sie sehen?
2107,what would you like to see?,"oh, i don't care. you're the one who wants to go out.",Was möchten Sie sehen?,"oh, ich muß nicht knallen, du bist der"
2108,"oh, i don't care. you're the one who wants to go out.","well, i want to see ""the pursuit of happyness.""","oh, ich muß nicht knallen, du bist der","ich möchte ""das Streben nach Glück"" sehen."
2109,"well, i want to see ""the pursuit of happyness.""",what have you heard about it?,"ich möchte ""das Streben nach Glück"" sehen.",Was haben Sie davon gehört?
2110,what have you heard about it?,it's based on a true story about a divorced man and his young son.,Was haben Sie davon gehört?,es basiert auf einer wahren Geschichte über einen Scheidungsmann und
2111,it's based on a true story about a divorced man and his young son.,"well, i hope it has a happy ending.",es basiert auf einer wahren Geschichte über einen Scheidungsmann und,"ich hoffe, es hat ein glückliches Ende."
2112,what's your favorite thing to do?,i like to watch people.,Was ist deine Lieblingstat zu tun?,Ich schaue gerne Menschen.
2113,i like to watch people.,that's your favorite thing to do?,Ich schaue gerne Menschen.,das ist deine Lieblingstat?
2114,that's your favorite thing to do?,"well, it's one of them.",das ist deine Lieblingstat?,es ist eines von ihnen.
2115,"well, it's one of them.",where do you go to watch people?,es ist eines von ihnen.,"wohin gehen Sie, um Menschen zu sehen?"
2116,where do you go to watch people?,my girlfriend and i sit outside starbucks.,"wohin gehen Sie, um Menschen zu sehen?",Meine Freundin und ich sitzen draußen starbucks.
2117,my girlfriend and i sit outside starbucks.,that sounds like a good spot.,Meine Freundin und ich sitzen draußen starbucks.,Das klingt wie ein guter Ort.
2118,that sounds like a good spot.,we watch people walk by with their dogs.,Das klingt wie ein guter Ort.,"Wir beobachten, wie Menschen mit ihren Hunden durchlaufen."
2119,we watch people walk by with their dogs.,i guess you see lots of different dogs.,"Wir beobachten, wie Menschen mit ihren Hunden durchlaufen.","ich nehme an, Sie sehen viele verschiedene Hunde."
2120,i guess you see lots of different dogs.,we don't even know what kind most of them are.,"ich nehme an, Sie sehen viele verschiedene Hunde.","wir wissen nicht einmal, welche Art von ihnen die meisten sind."
2121,we don't even know what kind most of them are.,"there are lots of different kinds, but they all have one thing in common.","wir wissen nicht einmal, welche Art von ihnen die meisten sind.","Es gibt viele verschiedene Arten, aber alle haben eines gemeinsam."
2122,"there are lots of different kinds, but they all have one thing in common.","yes, they love to sniff each other when they meet.","Es gibt viele verschiedene Arten, aber alle haben eines gemeinsam.","ja, sie lieben es, sich zu stören, wenn sie sich"
2123,they call him father dollar bill.,"yes, he was on the tv news today.",sie nennen ihn Vater Dollar Rechnung.,"ja, er war auf der TV-Nachrichten heute."
2124,"yes, he was on the tv news today.",every easter sunday he gives away money.,"ja, er war auf der TV-Nachrichten heute.",jedes östliche Sonnentag gibt er Geld.
2125,every easter sunday he gives away money.,is it his money?,jedes östliche Sonnentag gibt er Geld.,Ist es sein Geld?
2126,is it his money?,no. movie stars give him money to give to homeless people.,Ist es sein Geld?,"nämlich, er gibt ihm Geld, um obdachlosen Menschen zu geben"
2127,no. movie stars give him money to give to homeless people.,how much money does he give away?,"nämlich, er gibt ihm Geld, um obdachlosen Menschen zu geben",Wie viel Geld gibt er?
2128,how much money does he give away?,"this year he gave away $15,000.",Wie viel Geld gibt er?,hat er in diesem Jahr 15 000 Dollar vergeben.
2129,"this year he gave away $15,000.",that's a lot of money.,hat er in diesem Jahr 15 000 Dollar vergeben.,Das ist viel Geld.
2130,that's a lot of money.,he gave $100 to people in wheelchairs.,Das ist viel Geld.,er gab 100 Dollar Menschen in Rollstuhls.
2131,he gave $100 to people in wheelchairs.,what about the other homeless people?,er gab 100 Dollar Menschen in Rollstuhls.,Was ist mit den anderen Obdachlosen?
2132,what about the other homeless people?,they got $1 each.,Was ist mit den anderen Obdachlosen?,Sie haben je $1 bekommen.
2133,they got $1 each.,people stood in line just to get one dollar?!,Sie haben je $1 bekommen.,"Leute stand in der Linie, nur um einen Dollar zu bekommen?!"
2134,old movies are the best.,even though they're in black and white.,alte Filme sind die besten.,obwohl sie in Schwarzweiß sind.
2135,even though they're in black and white.,a good story is more important than color.,obwohl sie in Schwarzweiß sind.,eine gute Geschichte ist wichtiger als Farbe.
2136,a good story is more important than color.,actors didn't curse back then.,eine gute Geschichte ist wichtiger als Farbe.,Dabei hat es sich nicht um einen großen Effekt handeln lassen
2137,actors didn't curse back then.,and there was no violence.,Dabei hat es sich nicht um einen großen Effekt handeln lassen,und es gab keine Gewalt.
2138,and there was no violence.,people today don't like that.,und es gab keine Gewalt.,Menschen mögen das heute nicht.
2139,people today don't like that.,"no, today people like lots of action.",Menschen mögen das heute nicht.,"Nein, heute mögen die Menschen viel Handlung."
2140,"no, today people like lots of action.",i like a good story.,"Nein, heute mögen die Menschen viel Handlung.",ich mag eine gute Geschichte.
2141,i like a good story.,i like to see actors who are like real people.,ich mag eine gute Geschichte.,"Ich mag Schauspieler sehen, die wie echte Menschen sind."
2142,i like to see actors who are like real people.,like real people with real problems.,"Ich mag Schauspieler sehen, die wie echte Menschen sind.",wie echte Menschen mit echtem Problem.
2143,like real people with real problems.,they still make movies like that.,wie echte Menschen mit echtem Problem.,sie machen noch Filme wie diese.
2144,they still make movies like that.,"yes, but they never make much money.",sie machen noch Filme wie diese.,"ja, aber sie verdienen nie viel Geld."
2145,do you get pbs on tv?,"yes, everybody gets the public broadcasting system.",bekommst du pbs auf tv?,"ja, jeder bekommt das öffentliche Rundfunksystem."
2146,"yes, everybody gets the public broadcasting system.",it puts me to sleep.,"ja, jeder bekommt das öffentliche Rundfunksystem.",es bringt mich zum Schlafen.
2147,it puts me to sleep.,tell me about it.,es bringt mich zum Schlafen.,erzählen Sie mir darüber.
2148,tell me about it.,a gardening show follows a knitting show.,erzählen Sie mir darüber.,Eine Gartenshow folgt einer Strickshow.
2149,a gardening show follows a knitting show.,a cooking show follows a sewing show.,Eine Gartenshow folgt einer Strickshow.,Eine Kochshow folgt einer Nähshow.
